,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
0,Adams County,Illinois,3235,85,26,111,Adams 
1,Alexander County,Illinois,331,0,15,15,Alexander 
2,Bond County,Illinois,837,29,2,31,Bond 
3,Boone County,Illinois,3535,64,30,94,Boone 
4,Brown County,Illinois,244,0,0,0,Brown 
5,Bureau County,Illinois,1431,53,142,195,Bureau 
6,Calhoun County,Illinois,260,27,0,27,Calhoun 
7,Carroll County,Illinois,541,38,60,98,Carroll 
8,Cass County,Illinois,629,50,40,90,Cass 
9,Champaign County,Illinois,18988,297,152,449,Champaign 
10,Christian County,Illinois,1313,68,20,88,Christian 
11,Clark County,Illinois,704,14,71,85,Clark 
12,Clay County,Illinois,557,54,87,141,Clay 
13,Clinton County,Illinois,1787,47,15,62,Clinton 
14,Coles County,Illinois,3570,58,43,101,Coles 
15,Cook County,Illinois,247909,6757,4602,11359,Cook 
16,Crawford County,Illinois,791,149,14,163,Crawford 
17,Cumberland County,Illinois,485,122,6,128,Cumberland 
18,DeKalb County,Illinois,7653,142,60,202,DeKalb 
19,De Witt County,Illinois,821,16,59,75,De Witt 
20,Douglas County,Illinois,1078,306,96,402,Douglas 
21,DuPage County,Illinois,48112,615,912,1527,DuPage 
22,Edgar County,Illinois,862,15,14,29,Edgar 
23,Edwards County,Illinois,374,26,53,79,Edwards 
24,Effingham County,Illinois,1551,176,4,180,Effingham 
25,Fayette County,Illinois,959,86,71,157,Fayette 
26,Ford County,Illinois,615,22,39,61,Ford 
27,Franklin County,Illinois,1697,99,119,218,Franklin 
28,Fulton County,Illinois,1599,42,20,62,Fulton 
29,Gallatin County,Illinois,229,16,0,16,Gallatin 
30,Greene County,Illinois,680,24,5,29,Greene 
31,Grundy County,Illinois,2707,57,136,193,Grundy 
32,Hamilton County,Illinois,303,75,0,75,Hamilton 
33,Hancock County,Illinois,797,83,6,89,Hancock 
34,Hardin County,Illinois,132,18,0,18,Hardin 
35,Henderson County,Illinois,210,4,3,7,Henderson 
36,Henry County,Illinois,2498,34,20,54,Henry 
37,Iroquois County,Illinois,1359,8,2,10,Iroquois 
38,Jackson County,Illinois,4557,89,132,221,Jackson 
39,Jasper County,Illinois,362,1,0,1,Jasper 
40,Jefferson County,Illinois,1713,198,30,228,Jefferson 
41,Jersey County,Illinois,1326,96,0,96,Jersey 
42,Jo Daviess County,Illinois,856,0,0,0,Jo Daviess 
43,Johnson County,Illinois,529,17,8,25,Johnson 
44,Kane County,Illinois,30918,742,644,1386,Kane 
45,Kankakee County,Illinois,6868,215,256,471,Kankakee 
46,Kendall County,Illinois,7170,178,170,348,Kendall 
47,Knox County,Illinois,2738,66,76,142,Knox 
48,Lake County,Illinois,43241,762,1124,1886,Lake 
49,LaSalle County,Illinois,5313,280,131,411,LaSalle 
50,Lawrence County,Illinois,558,166,69,235,Lawrence 
51,Lee County,Illinois,1323,31,36,67,Lee 
52,Livingston County,Illinois,1859,30,19,49,Livingston 
53,Logan County,Illinois,1602,48,72,120,Logan 
54,McDonough County,Illinois,2905,49,129,178,McDonough 
55,McHenry County,Illinois,16929,409,209,618,McHenry 
56,McLean County,Illinois,12891,153,305,458,McLean 
57,Macon County,Illinois,5137,305,287,592,Macon 
58,Macoupin County,Illinois,2246,11,57,68,Macoupin 
59,Madison County,Illinois,12656,507,131,638,Madison 
60,Marion County,Illinois,1619,56,48,104,Marion 
61,Marshall County,Illinois,529,5,31,36,Marshall 
62,Mason County,Illinois,643,0,0,0,Mason 
63,Massac County,Illinois,592,29,37,66,Massac 
64,Menard County,Illinois,581,0,17,17,Menard 
65,Mercer County,Illinois,724,55,3,58,Mercer 
66,Monroe County,Illinois,1577,7,10,17,Monroe 
67,Montgomery County,Illinois,1197,32,84,116,Montgomery 
68,Morgan County,Illinois,1978,32,18,50,Morgan 
69,Moultrie County,Illinois,794,222,81,303,Moultrie 
70,Ogle County,Illinois,2514,27,52,79,Ogle 
71,Peoria County,Illinois,9171,279,119,398,Peoria 
72,Perry County,Illinois,955,99,4,103,Perry 
73,Piatt County,Illinois,790,48,34,82,Piatt 
74,Pike County,Illinois,649,12,1,13,Pike 
75,Pope County,Illinois,99,3,20,23,Pope 
76,Pulaski County,Illinois,355,13,5,18,Pulaski 
77,Putnam County,Illinois,271,10,0,10,Putnam 
78,Randolph County,Illinois,1463,18,49,67,Randolph 
79,Richland County,Illinois,719,31,2,33,Richland 
80,Rock Island County,Illinois,7450,234,169,403,Rock Island 
81,St. Clair County,Illinois,12734,581,388,969,St. Clair 
82,Saline County,Illinois,1025,120,19,139,Saline 
83,Sangamon County,Illinois,9520,354,111,465,Sangamon 
84,Schuyler County,Illinois,425,0,23,23,Schuyler 
85,Scott County,Illinois,240,2,7,9,Scott 
86,Shelby County,Illinois,971,32,36,68,Shelby 
87,Stark County,Illinois,223,14,6,20,Stark 
88,Stephenson County,Illinois,1907,18,108,126,Stephenson 
89,Tazewell County,Illinois,6145,298,176,474,Tazewell 
90,Union County,Illinois,791,25,20,45,Union 
91,Vermilion County,Illinois,3678,154,170,324,Vermilion 
92,Wabash County,Illinois,465,27,26,53,Wabash 
93,Warren County,Illinois,1199,5,5,10,Warren 
94,Washington County,Illinois,629,9,11,20,Washington 
95,Wayne County,Illinois,731,79,78,157,Wayne 
96,White County,Illinois,538,12,6,18,White 
97,Whiteside County,Illinois,2795,49,156,205,Whiteside 
98,Will County,Illinois,39887,1052,742,1794,Will 
99,Williamson County,Illinois,2632,64,50,114,Williamson 
100,Winnebago County,Illinois,14236,535,727,1262,Winnebago 
101,Woodford County,Illinois,2108,26,18,44,Woodford 
0,Adair County,Oklahoma,1212,97,65,162,Adair 
1,Alfalfa County,Oklahoma,188,12,0,12,Alfalfa 
2,Atoka County,Oklahoma,662,18,20,38,Atoka 
3,Beaver County,Oklahoma,240,12,7,19,Beaver 
4,Beckham County,Oklahoma,1159,26,0,26,Beckham 
5,Blaine County,Oklahoma,366,30,0,30,Blaine 
6,Bryan County,Oklahoma,2643,115,80,195,Bryan 
7,Caddo County,Oklahoma,1483,136,24,160,Caddo 
8,Canadian County,Oklahoma,7407,205,81,286,Canadian 
9,Carter County,Oklahoma,2340,184,81,265,Carter 
10,Cherokee County,Oklahoma,3077,117,55,172,Cherokee 
11,Choctaw County,Oklahoma,693,30,47,77,Choctaw 
12,Cimarron County,Oklahoma,71,0,0,0,Cimarron 
13,Cleveland County,Oklahoma,16887,269,128,397,Cleveland 
14,Coal County,Oklahoma,271,36,0,36,Coal 
15,Comanche County,Oklahoma,7426,164,270,434,Comanche 
16,Cotton County,Oklahoma,330,15,0,15,Cotton 
17,Craig County,Oklahoma,728,102,8,110,Craig 
18,Creek County,Oklahoma,3598,206,90,296,Creek 
19,Custer County,Oklahoma,2076,1,8,9,Custer 
20,Delaware County,Oklahoma,2009,154,60,214,Delaware 
21,Dewey County,Oklahoma,299,5,0,5,Dewey 
22,Ellis County,Oklahoma,213,15,6,21,Ellis 
23,Garfield County,Oklahoma,3103,111,108,219,Garfield 
24,Garvin County,Oklahoma,1548,123,58,181,Garvin 
25,Grady County,Oklahoma,3019,105,50,155,Grady 
26,Grant County,Oklahoma,211,5,0,5,Grant 
27,Greer County,Oklahoma,181,33,0,33,Greer 
28,Harmon County,Oklahoma,128,34,0,34,Harmon 
29,Harper County,Oklahoma,136,0,13,13,Harper 
30,Haskell County,Oklahoma,642,48,14,62,Haskell 
31,Hughes County,Oklahoma,559,11,12,23,Hughes 
32,Jackson County,Oklahoma,1249,8,0,8,Jackson 
33,Jefferson County,Oklahoma,346,20,14,34,Jefferson 
34,Johnston County,Oklahoma,595,8,6,14,Johnston 
35,Kay County,Oklahoma,2322,159,81,240,Kay 
36,Kingfisher County,Oklahoma,712,95,60,155,Kingfisher 
37,Kiowa County,Oklahoma,359,2,0,2,Kiowa 
38,Latimer County,Oklahoma,614,1,27,28,Latimer 
39,Le Flore County,Oklahoma,2621,87,83,170,Le Flore 
40,Lincoln County,Oklahoma,1909,148,49,197,Lincoln 
41,Logan County,Oklahoma,2854,44,31,75,Logan 
42,Love County,Oklahoma,603,33,0,33,Love 
43,McClain County,Oklahoma,2169,6,4,10,McClain 
44,McCurtain County,Oklahoma,1500,73,84,157,McCurtain 
45,McIntosh County,Oklahoma,660,4,34,38,McIntosh 
46,Major County,Oklahoma,340,21,11,32,Major 
47,Marshall County,Oklahoma,830,93,21,114,Marshall 
48,Mayes County,Oklahoma,2111,219,155,374,Mayes 
49,Murray County,Oklahoma,610,73,28,101,Murray 
50,Muskogee County,Oklahoma,3507,276,119,395,Muskogee 
51,Noble County,Oklahoma,551,47,0,47,Noble 
52,Nowata County,Oklahoma,502,4,6,10,Nowata 
53,Okfuskee County,Oklahoma,544,42,53,95,Okfuskee 
54,Oklahoma County,Oklahoma,40152,2120,1189,3309,Oklahoma 
55,Okmulgee County,Oklahoma,2238,118,64,182,Okmulgee 
56,Osage County,Oklahoma,2259,116,39,155,Osage 
57,Ottawa County,Oklahoma,1956,47,65,112,Ottawa 
58,Pawnee County,Oklahoma,769,59,50,109,Pawnee 
59,Payne County,Oklahoma,7032,136,19,155,Payne 
60,Pittsburg County,Oklahoma,1921,166,82,248,Pittsburg 
61,Pontotoc County,Oklahoma,2221,91,31,122,Pontotoc 
62,Pottawatomie County,Oklahoma,4451,128,78,206,Pottawatomie 
63,Pushmataha County,Oklahoma,518,39,6,45,Pushmataha 
64,Roger Mills County,Oklahoma,160,34,0,34,Roger Mills 
65,Rogers County,Oklahoma,4838,130,117,247,Rogers 
66,Seminole County,Oklahoma,1392,83,15,98,Seminole 
67,Sequoyah County,Oklahoma,2186,179,32,211,Sequoyah 
68,Stephens County,Oklahoma,2078,135,12,147,Stephens 
69,Texas County,Oklahoma,1425,49,14,63,Texas 
70,Tillman County,Oklahoma,478,13,15,28,Tillman 
71,Tulsa County,Oklahoma,33058,1363,1298,2661,Tulsa 
72,Wagoner County,Oklahoma,3956,101,85,186,Wagoner 
73,Washington County,Oklahoma,2637,168,19,187,Washington 
74,Washita County,Oklahoma,653,21,11,32,Washita 
75,Woods County,Oklahoma,596,70,24,94,Woods 
76,Woodward County,Oklahoma,1066,34,21,55,Woodward 
0,Adams County,Wisconsin,668,18,14,32,Adams 
1,Ashland County,Wisconsin,986,26,51,77,Ashland 
2,Barron County,Wisconsin,1955,164,114,278,Barron 
3,Bayfield County,Wisconsin,556,19,6,25,Bayfield 
4,Brown County,Wisconsin,14078,403,144,547,Brown 
5,Buffalo County,Wisconsin,585,20,24,44,Buffalo 
6,Burnett County,Wisconsin,580,20,22,42,Burnett 
7,Calumet County,Wisconsin,2569,3,20,23,Calumet 
8,Chippewa County,Wisconsin,2738,120,72,192,Chippewa 
9,Clark County,Wisconsin,1935,527,361,888,Clark 
10,Columbia County,Wisconsin,2618,200,108,308,Columbia 
11,Crawford County,Wisconsin,745,38,31,69,Crawford 
12,Dane County,Wisconsin,29400,177,411,588,Dane 
13,Dodge County,Wisconsin,3769,259,14,273,Dodge 
14,Door County,Wisconsin,1008,46,77,123,Door 
15,Douglas County,Wisconsin,2190,51,46,97,Douglas 
16,Dunn County,Wisconsin,3570,53,12,65,Dunn 
17,Eau Claire County,Wisconsin,6920,193,112,305,Eau Claire 
18,Florence County,Wisconsin,120,0,3,3,Florence 
19,Fond du Lac County,Wisconsin,5232,55,67,122,Fond du Lac 
20,Forest County,Wisconsin,438,4,7,11,Forest 
21,Grant County,Wisconsin,4089,181,85,266,Grant 
22,Green County,Wisconsin,1651,28,6,34,Green 
23,Green Lake County,Wisconsin,958,91,49,140,Green Lake 
24,Iowa County,Wisconsin,1021,23,8,31,Iowa 
25,Iron County,Wisconsin,174,0,0,0,Iron 
26,Jackson County,Wisconsin,957,16,17,33,Jackson 
27,Jefferson County,Wisconsin,5408,224,0,224,Jefferson 
28,Juneau County,Wisconsin,1112,60,3,63,Juneau 
29,Kenosha County,Wisconsin,9679,303,235,538,Kenosha 
30,Kewaunee County,Wisconsin,924,23,10,33,Kewaunee 
31,La Crosse County,Wisconsin,7626,59,63,122,La Crosse 
32,Lafayette County,Wisconsin,897,67,29,96,Lafayette 
33,Langlade County,Wisconsin,984,139,30,169,Langlade 
34,Lincoln County,Wisconsin,1334,30,50,80,Lincoln 
35,Manitowoc County,Wisconsin,3864,73,64,137,Manitowoc 
36,Marathon County,Wisconsin,6558,265,132,397,Marathon 
37,Marinette County,Wisconsin,1770,34,10,44,Marinette 
38,Marquette County,Wisconsin,639,12,45,57,Marquette 
39,Menominee County,Wisconsin,303,0,0,0,Menominee 
40,Milwaukee County,Wisconsin,49973,1765,1050,2815,Milwaukee 
41,Monroe County,Wisconsin,2294,180,121,301,Monroe 
42,Oconto County,Wisconsin,1694,79,11,90,Oconto 
43,Oneida County,Wisconsin,1311,25,0,25,Oneida 
44,Outagamie County,Wisconsin,9475,66,102,168,Outagamie 
45,Ozaukee County,Wisconsin,4939,80,49,129,Ozaukee 
46,Pepin County,Wisconsin,282,23,29,52,Pepin 
47,Pierce County,Wisconsin,3281,46,35,81,Pierce 
48,Polk County,Wisconsin,1973,51,33,84,Polk 
49,Portage County,Wisconsin,4883,183,9,192,Portage 
50,Price County,Wisconsin,513,3,11,14,Price 
51,Racine County,Wisconsin,9902,379,738,1117,Racine 
52,Richland County,Wisconsin,847,124,35,159,Richland 
53,Rock County,Wisconsin,8110,385,22,407,Rock 
54,Rusk County,Wisconsin,546,52,43,95,Rusk 
55,St. Croix County,Wisconsin,4617,79,11,90,St. Croix 
56,Sauk County,Wisconsin,3137,209,246,455,Sauk 
57,Sawyer County,Wisconsin,554,42,28,70,Sawyer 
58,Shawano County,Wisconsin,2001,48,65,113,Shawano 
59,Sheboygan County,Wisconsin,5582,122,27,149,Sheboygan 
60,Taylor County,Wisconsin,1053,83,9,92,Taylor 
61,Trempealeau County,Wisconsin,1385,80,47,127,Trempealeau 
62,Vernon County,Wisconsin,1610,159,130,289,Vernon 
63,Vilas County,Wisconsin,667,32,58,90,Vilas 
64,Walworth County,Wisconsin,6204,74,141,215,Walworth 
65,Washburn County,Wisconsin,629,19,12,31,Washburn 
66,Washington County,Wisconsin,6878,141,140,281,Washington 
67,Waukesha County,Wisconsin,21071,174,85,259,Waukesha 
68,Waupaca County,Wisconsin,2338,49,118,167,Waupaca 
69,Waushara County,Wisconsin,951,113,28,141,Waushara 
70,Winnebago County,Wisconsin,9425,389,84,473,Winnebago 
71,Wood County,Wisconsin,3134,38,49,87,Wood 
0,Androscoggin County,Maine,5450,184,182,366,Androscoggin 
1,Aroostook County,Maine,3172,120,29,149,Aroostook 
2,Cumberland County,Maine,14030,156,166,322,Cumberland 
3,Franklin County,Maine,1680,41,27,68,Franklin 
4,Hancock County,Maine,2050,5,30,35,Hancock 
5,Kennebec County,Maine,6078,337,51,388,Kennebec 
6,Knox County,Maine,1562,172,51,223,Knox 
7,Lincoln County,Maine,1226,59,80,139,Lincoln 
8,Oxford County,Maine,2579,70,196,266,Oxford 
9,Penobscot County,Maine,8892,147,124,271,Penobscot 
10,Piscataquis County,Maine,795,9,11,20,Piscataquis 
11,Sagadahoc County,Maine,1387,36,0,36,Sagadahoc 
12,Somerset County,Maine,2149,61,29,90,Somerset 
13,Waldo County,Maine,1784,21,249,270,Waldo 
14,Washington County,Maine,1445,48,18,66,Washington 
15,York County,Maine,8997,156,295,451,York 
0,Adams County,Pennsylvania,5416,148,93,241,Adams 
1,Allegheny County,Pennsylvania,56946,1093,836,1929,Allegheny 
2,Armstrong County,Pennsylvania,2825,64,89,153,Armstrong 
3,Beaver County,Pennsylvania,6908,109,73,182,Beaver 
4,Bedford County,Pennsylvania,2225,115,102,217,Bedford 
5,Berks County,Pennsylvania,23935,851,662,1513,Berks 
6,Blair County,Pennsylvania,6207,401,206,607,Blair 
7,Bradford County,Pennsylvania,2789,70,106,176,Bradford 
8,Bucks County,Pennsylvania,30623,516,690,1206,Bucks 
9,Butler County,Pennsylvania,9842,131,89,220,Butler 
10,Cambria County,Pennsylvania,6824,118,69,187,Cambria 
11,Cameron County,Pennsylvania,142,0,4,4,Cameron 
12,Carbon County,Pennsylvania,2647,242,110,352,Carbon 
13,Centre County,Pennsylvania,14510,318,301,619,Centre 
14,Chester County,Pennsylvania,29123,574,353,927,Chester 
15,Clarion County,Pennsylvania,2381,162,85,247,Clarion 
16,Clearfield County,Pennsylvania,3093,130,43,173,Clearfield 
17,Clinton County,Pennsylvania,2386,263,264,527,Clinton 
18,Columbia County,Pennsylvania,4399,128,91,219,Columbia 
19,Crawford County,Pennsylvania,4593,429,263,692,Crawford 
20,Cumberland County,Pennsylvania,13393,412,323,735,Cumberland 
21,Dauphin County,Pennsylvania,13073,964,458,1422,Dauphin 
22,Delaware County,Pennsylvania,31626,795,387,1182,Delaware 
23,Elk County,Pennsylvania,1268,52,0,52,Elk 
24,Erie County,Pennsylvania,15315,626,194,820,Erie 
25,Fayette County,Pennsylvania,5535,209,109,318,Fayette 
26,Forest County,Pennsylvania,255,8,0,8,Forest 
27,Franklin County,Pennsylvania,8090,584,359,943,Franklin 
28,Fulton County,Pennsylvania,604,5,3,8,Fulton 
29,Greene County,Pennsylvania,1948,50,15,65,Greene 
30,Huntingdon County,Pennsylvania,2349,100,45,145,Huntingdon 
31,Indiana County,Pennsylvania,6235,614,201,815,Indiana 
32,Jefferson County,Pennsylvania,2006,116,200,316,Jefferson 
33,Juniata County,Pennsylvania,1237,47,116,163,Juniata 
34,Lackawanna County,Pennsylvania,10977,403,268,671,Lackawanna 
35,Lancaster County,Pennsylvania,28051,3765,3073,6838,Lancaster 
36,Lawrence County,Pennsylvania,4359,163,50,213,Lawrence 
37,Lebanon County,Pennsylvania,6930,364,380,744,Lebanon 
38,Lehigh County,Pennsylvania,19919,468,282,750,Lehigh 
39,Luzerne County,Pennsylvania,15497,654,372,1026,Luzerne 
40,Lycoming County,Pennsylvania,6069,102,419,521,Lycoming 
41,McKean County,Pennsylvania,2251,9,3,12,McKean 
42,Mercer County,Pennsylvania,6342,307,180,487,Mercer 
43,Mifflin County,Pennsylvania,2126,459,172,631,Mifflin 
44,Monroe County,Pennsylvania,10254,26,186,212,Monroe 
45,Montgomery County,Pennsylvania,39786,691,405,1096,Montgomery 
46,Montour County,Pennsylvania,819,48,13,61,Montour 
47,Northampton County,Pennsylvania,17592,378,321,699,Northampton 
48,Northumberland County,Pennsylvania,3799,319,100,419,Northumberland 
49,Perry County,Pennsylvania,2100,325,174,499,Perry 
50,Philadelphia County,Pennsylvania,78270,2371,1469,3840,Philadelphia 
51,Pike County,Pennsylvania,2637,13,51,64,Pike 
52,Potter County,Pennsylvania,742,38,0,38,Potter 
53,Schuylkill County,Pennsylvania,5966,139,145,284,Schuylkill 
54,Snyder County,Pennsylvania,2842,185,147,332,Snyder 
55,Somerset County,Pennsylvania,2763,125,167,292,Somerset 
56,Sullivan County,Pennsylvania,244,14,0,14,Sullivan 
57,Susquehanna County,Pennsylvania,1664,51,27,78,Susquehanna 
58,Tioga County,Pennsylvania,2229,95,25,120,Tioga 
59,Union County,Pennsylvania,3705,357,264,621,Union 
60,Venango County,Pennsylvania,2284,208,121,329,Venango 
61,Warren County,Pennsylvania,1801,40,29,69,Warren 
62,Washington County,Pennsylvania,10169,292,144,436,Washington 
63,Wayne County,Pennsylvania,1986,60,159,219,Wayne 
64,Westmoreland County,Pennsylvania,15517,93,317,410,Westmoreland 
65,Wyoming County,Pennsylvania,1372,20,31,51,Wyoming 
66,York County,Pennsylvania,22389,853,629,1482,York 
0,Barnstable County,Massachusetts,8440,109,163,272,Barnstable 
1,Berkshire County,Massachusetts,6497,140,41,181,Berkshire 
2,Bristol County,Massachusetts,28764,1405,708,2113,Bristol 
3,Dukes County,Massachusetts,937,9,0,9,Dukes 
4,Essex County,Massachusetts,41801,1296,576,1872,Essex 
5,Franklin County,Massachusetts,3042,54,68,122,Franklin 
6,Hampden County,Massachusetts,26372,855,594,1449,Hampden 
7,Hampshire County,Massachusetts,16924,198,170,368,Hampshire 
8,Middlesex County,Massachusetts,83637,1183,798,1981,Middlesex 
9,Nantucket County,Massachusetts,459,0,9,9,Nantucket 
10,Norfolk County,Massachusetts,36571,462,274,736,Norfolk 
11,Plymouth County,Massachusetts,27454,648,210,858,Plymouth 
12,Suffolk County,Massachusetts,47361,1391,442,1833,Suffolk 
13,Worcester County,Massachusetts,46044,1080,615,1695,Worcester 
0,Adams County,Ohio,1435,68,75,143,Adams 
1,Allen County,Ohio,5798,269,117,386,Allen 
2,Ashland County,Ohio,3400,124,92,216,Ashland 
3,Ashtabula County,Ohio,4494,243,316,559,Ashtabula 
4,Athens County,Ohio,8342,66,41,107,Athens 
5,Auglaize County,Ohio,2299,0,122,122,Auglaize 
6,Belmont County,Ohio,2876,59,51,110,Belmont 
7,Brown County,Ohio,2146,89,142,231,Brown 
8,Butler County,Ohio,24365,357,384,741,Butler 
9,Carroll County,Ohio,1402,157,54,211,Carroll 
10,Champaign County,Ohio,2106,177,38,215,Champaign 
11,Clark County,Ohio,7401,247,256,503,Clark 
12,Clermont County,Ohio,9865,376,68,444,Clermont 
13,Clinton County,Ohio,2228,51,48,99,Clinton 
14,Columbiana County,Ohio,4746,386,195,581,Columbiana 
15,Coshocton County,Ohio,1646,274,179,453,Coshocton 
16,Crawford County,Ohio,1825,60,81,141,Crawford 
17,Cuyahoga County,Ohio,59941,1464,1222,2686,Cuyahoga 
18,Darke County,Ohio,2454,51,10,61,Darke 
19,Defiance County,Ohio,2155,16,0,16,Defiance 
20,Delaware County,Ohio,11776,66,131,197,Delaware 
21,Erie County,Ohio,3499,109,122,231,Erie 
22,Fairfield County,Ohio,8330,99,46,145,Fairfield 
23,Fayette County,Ohio,1341,13,23,36,Fayette 
24,Franklin County,Ohio,67570,2401,1228,3629,Franklin 
25,Fulton County,Ohio,2228,71,170,241,Fulton 
26,Gallia County,Ohio,1554,247,36,283,Gallia 
27,Geauga County,Ohio,5380,729,638,1367,Geauga 
28,Greene County,Ohio,10974,266,54,320,Greene 
29,Guernsey County,Ohio,2119,80,38,118,Guernsey 
30,Hamilton County,Ohio,43158,1473,1679,3152,Hamilton 
31,Hancock County,Ohio,4056,97,60,157,Hancock 
